link,title,rating,subject
https://movie.douban.com/subject/3395373/	,蝙蝠侠：黑暗骑士崛起	,8.9	,诺兰就是保证。
https://movie.douban.com/subject/11026735/	,超能陆战队	,8.8	,Balalala~~~
https://movie.douban.com/subject/1461403/	,茶馆	,9.5	,
https://movie.douban.com/subject/10777687/	,7号房的礼物	,8.9	,《我是山姆》的《美丽人生》。
https://movie.douban.com/subject/1297630/	,第六感	,8.9	,
https://movie.douban.com/subject/1291990/	,爱在日落黄昏时	,8.9	,九年后的重逢是世俗和责任的交叠，没了悸动和青涩，沧桑而温暖。
https://movie.douban.com/subject/1296339/	,爱在黎明破晓前	,8.8	,
https://movie.douban.com/subject/10533913/	,头脑特工队	,8.9	,愿我们都不用长大，每一座城堡都能永远存在。
https://movie.douban.com/subject/1309055/	,哈利·波特与火焰杯	,8.8	,
https://movie.douban.com/subject/1787291/	,被嫌弃的松子的一生	,8.8	,以戏谑来戏谑戏谑。
https://movie.douban.com/subject/1395091/	,未麻的部屋	,9.1	,
https://movie.douban.com/subject/1291999/	,重庆森林	,8.8	,
https://movie.douban.com/subject/4202302/	,借东西的小人阿莉埃蒂	,8.9	,曾经的那段美好会沉淀为一辈子的记忆。
https://movie.douban.com/subject/1293359/	,菊次郎的夏天	,8.9	,
https://movie.douban.com/subject/2149806/	,入殓师	,8.9	,死可能是一道门，逝去并不是终结，而是超越，走向下一程。
https://movie.douban.com/subject/1292370/	,剪刀手爱德华	,8.7	,
https://movie.douban.com/subject/1418834/	,断背山	,8.8	,每个人心中都有一座断背山。
https://movie.douban.com/subject/1294639/	,勇敢的心	,8.9	,
https://movie.douban.com/subject/10577869/	,时空恋旅人	,8.8	,把每天当作最后一天般珍惜度过，积极拥抱生活，就是幸福。
https://movie.douban.com/subject/1858711/	,玩具总动员3	,8.9	,跨度十五年的欢乐与泪水。
https://movie.douban.com/subject/1292849/	,拯救大兵瑞恩	,9.1	,
https://movie.douban.com/subject/1293544/	,沉默的羔羊	,8.9	,
https://movie.douban.com/subject/1303021/	,小鞋子	,9.2	,
https://movie.douban.com/subject/1292343/	,蝴蝶效应	,8.9	,人的命运被自己瞬间的抉择改变。
https://movie.douban.com/subject/11525673/	,布达佩斯大饭店	,8.9	,小清新的故事里注入了大历史的情怀。
https://movie.douban.com/subject/36445098/	,还有明天	,9.3	,
https://movie.douban.com/subject/1292224/	,飞越疯人院	,9.1	,
https://movie.douban.com/subject/2334904/	,禁闭岛	,8.9	,昔日翩翩少年，今日大腹便便。
https://movie.douban.com/subject/1292656/	,心灵捕手	,9.0	,
https://movie.douban.com/subject/1780330/	,致命魔术	,8.9	,孪生蝙蝠侠大战克隆金刚狼。
https://movie.douban.com/subject/1291832/	,低俗小说	,8.9	,
https://movie.douban.com/subject/1296996/	,哈利·波特与密室	,8.9	,
https://movie.douban.com/subject/1292434/	,一一	,9.1	,
https://movie.douban.com/subject/5322596/	,超脱	,9.0	,穷尽一生，我们要学会的，不过是彼此拥抱。
https://movie.douban.com/subject/1302425/	,喜剧之王	,8.8	,
https://movie.douban.com/subject/1297192/	,致命ID	,8.9	,
https://movie.douban.com/subject/1300299/	,杀人回忆	,8.9	,
https://movie.douban.com/subject/1294371/	,摩登时代	,9.3	,
https://movie.douban.com/subject/1298070/	,加勒比海盗	,8.8	,
https://movie.douban.com/subject/1292679/	,春光乍泄	,9.0	,
https://movie.douban.com/subject/3442220/	,海豚湾	,9.3	,海豚的微笑，是世界上最高明的伪装。
https://movie.douban.com/subject/1292262/	,美国往事	,9.1	,
https://movie.douban.com/subject/1865703/	,红辣椒	,9.0	,梦的勾结。
https://movie.douban.com/subject/1292223/	,七宗罪	,8.8	,
https://movie.douban.com/subject/1306249/	,唐伯虎点秋香	,8.8	,
https://movie.douban.com/subject/30170448/	,何以为家	,9.1	,凝视卑弱生命，用电影改变命运。
https://movie.douban.com/subject/1298624/	,闻香识女人	,9.1	,
https://movie.douban.com/subject/1418019/	,大闹天宫	,9.4	,
https://movie.douban.com/subject/1291843/	,黑客帝国	,9.1	,
https://movie.douban.com/subject/1291571/	,指环王1：护戒使者	,9.1	,
https://movie.douban.com/subject/1293839/	,罗马假日	,9.1	,
https://movie.douban.com/subject/1299131/	,教父2	,9.3	,
https://movie.douban.com/subject/1301753/	,狮子王	,9.1	,
https://movie.douban.com/subject/1291828/	,天堂电影院	,9.2	,
https://movie.douban.com/subject/1291818/	,饮食男女	,9.2	,
https://movie.douban.com/subject/21937445/	,辩护人	,9.2	,电影的现实意义大过电影本身。
https://movie.douban.com/subject/1485260/	,本杰明·巴顿奇事	,9.0	,在时间之河里感受溺水之苦。
https://movie.douban.com/subject/1292000/	,搏击俱乐部	,9.0	,
https://movie.douban.com/subject/1306029/	,美丽心灵	,9.1	,
https://movie.douban.com/subject/3008247/	,穿条纹睡衣的男孩	,9.2	,尽管有些不切实际的幻想，这部电影依旧是一部感人肺腑的佳作。
https://movie.douban.com/subject/3011235/	,哈利·波特与死亡圣器(下)	,9.0	,10年的完美句点。
https://movie.douban.com/subject/1293350/	,两杆大烟枪	,9.1	,
https://movie.douban.com/subject/1291543/	,功夫	,8.9	,警恶惩奸，维护世界和平这个任务就交给你了，好吗？
https://movie.douban.com/subject/1292220/	,情书	,8.9	,
https://movie.douban.com/subject/1900841/	,窃听风暴	,9.2	,别样人生。
https://movie.douban.com/subject/1294408/	,音乐之声	,9.1	,
https://movie.douban.com/subject/1291544/	,哈利·波特与阿兹卡班的囚徒	,9.0	,不一样的导演，不一样的哈利·波特。
https://movie.douban.com/subject/1652587/	,阿凡达	,8.8	,绝对意义上的美轮美奂。
https://movie.douban.com/subject/1292402/	,西西里的美丽传说	,8.9	,
https://movie.douban.com/subject/26580232/	,看不见的客人	,8.8	,你以为你以为的就是你以为的。
https://movie.douban.com/subject/1293172/	,末代皇帝	,9.3	,“不要跟我比惨，我比你更惨”再适合这部电影不过了。
https://movie.douban.com/subject/1849031/	,当幸福来敲门	,9.1	,平民励志片。 
https://movie.douban.com/subject/1291560/	,龙猫	,9.2	,人人心中都有个龙猫，童年就永远不会消失。
